data1,data2,data3,homo1,homo2,homo3,arma1,arma2,arma3,prophet1,prophet2,prophet3,full1,full2,full3
2,6,1,5,4.5,5,3.360624122,6.164507981,1.242574904,0.923888958,7.805896969,2.706465294,1.934,6.12,1.12
3,6,2,5,4,5,3.00931006,6.76057533,1.809075727,3.536703628,7.274466387,4.00485089,2.884,6.302,2.232
5,8,6,5,4,5,3.756192667,6.754796,2.499526661,5.747628563,6.986923276,5.596544012,4.902,7.966,5.414
6,7,6,5,4,4,4.920831487,8.639981541,6.091930487,6.682130885,7.160521715,6.893883371,6.13,7.066,5.478
6,6,7,5,4,5,5.533704723,7.17188593,6.506389417,6.621308591,7.662431203,7.430209566,5.78,6.252,6.84
4,6,5,5,4,4,5.836478726,6.479834638,7.467697665,6.625452044,8.188855269,7.224386642,4.574,6.042,4.984
6,8,5,5,4,5,4.673709351,6.401595287,5.657749078,7.414445494,8.490886955,6.765182644,6.01,7.822,5.144
7,11,7,5,4,5,6.518128534,7.930073892,5.388411667,8.62213341,8.462644784,6.618360995,6.762,10.81,6.84
7,7,5,5,4,5,6.770374169,9.92482725,6.564372066,9.165515111,8.084016395,6.995420551,6.922,7.03,5.068
7,5,8,5,4,5,6.789052099,5.365006951,5.458761636,8.354568292,7.347352792,7.645275996,6.888,5.196,7.746
6,5,13,5,4,4,6.858224465,4.353619573,7.20821208,6.626943976,6.274641216,8.124727034,6.064,5.202,12.034
6,4,7,5,5,5,6.072916024,4.255953765,11.69433291,5.164209618,4.99090922,8.166803097,5.738,4.05,7.012
7,3,7,5,4,5,6.061519915,3.057005912,7.502388846,4.761855204,3.731002575,7.813368161,6.766,3.028,7.16
5,2,7,5,4,5,6.551703665,2.223277815,6.629608563,5.071507701,2.72368435,7.240195427,5.002,2.086,7.132
4,1,5,5,4,4,4.777289112,1.38113339,6.168532602,4.966844893,2.046910819,6.50594966,4.104,1.084,5.154
3,1,8,5,4,5,4.206026096,0.638822729,4.760688406,3.670951302,1.609990366,5.5029952,2.956,0.852,7.288
2,0,5,5,4,5,3.135380357,0.889181881,6.599695628,1.532121926,1.307146285,4.148883598,2.076,0.512,4.876
1,1,5,5,5,5,2.105249474,0.059408584,4.96339366,-0.30748038,1.203555456,2.591570627,1.19,0.848,4.45
1,1,3,5,4,4,1.0547191,1.436742289,4.361502499,-1.002007812,1.551450587,1.185374943,0.852,0.99,2.422
1,2,0,5,4,4,0.887462682,1.389119928,3.031433712,-0.756330268,2.576278799,0.240865285,0.79,1.858,0.514
1,3,1,5,4,5,0.81456901,2.686423753,0.252131045,-0.503088263,4.200697797,-0.200420723,0.66,3.048,0.822
1,7,1,5,4,5,1.088928657,3.655456603,0.909676289,-0.852791319,5.966655788,-0.329670294,0.794,6.714,0.804
1,10,0,5,4,4.5,1.516162556,7.470004184,1.030610504,-1.39953671,7.267136008,-0.304874132,0.748,9.328,0.412
1,7,1,5,4.5,5,1.935784323,9.607137437,0.721155184,-1.102418055,7.730982793,-0.035653296,1.012,7.124,1.034
2,6,1,5,4,5,2.175627942,6.631188051,1.324343425,0.62932281,7.459412239,0.736293613,1.67,6.232,1.164
4,7,3,5,4,4.5,2.947134156,6.732008058,1.848708632,3.242137555,6.927732367,2.114351944,3.548,7.086,2.902
5,9,4,5,4,5,4.258569948,7.739974808,3.323830957,5.453062563,6.639939966,3.801245446,5.026,8.982,3.744
6,7,4,5,4,5,4.885310133,9.323626946,4.705807709,6.387564959,6.813289115,5.207703896,5.738,7.014,4.358
